Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Mysuru Parimala,South Inspired,"White rum, clarified banana extract, lime juice, sandalwood bitters","Shake white rum, clarified banana, lime juice, and sandalwood bitters with ice. Strain into a chilled coupe or martini glass.",Edible flower or banana chip,Coupe,TOIT (Bangalore)
Full Toit Kaapi,South Inspired,"Vodka, vanilla ice cream, coffee, cream, butterscotch and vanilla syrup","Blend or shake vodka, vanilla ice cream, coffee, cream, and syrups together. Serve chilled.",Coffee beans or chocolate shavings,Highball or specialized coffee glass,TOIT (Bangalore)
BKK - BLR,Toit Legends,"Gin, homemade lemongrass syrup, strawberry syrup, tonic water",Combine gin and syrups in a highball glass filled with ice. Stir gently. Top with tonic water.,Lemongrass stalk or strawberry slice,Highball,TOIT (Bangalore)
Watermelon Sugar. Hi!,Toit Legends,"Vodka, chocolate syrup, cinnamon syrup, fresh watermelon, lemon juice",Muddle watermelon with lemon juice. Add vodka and syrups. Shake with ice. Strain into a chilled glass.,Watermelon wedge,Martini or Coupe,TOIT (Bangalore)
Kaapi Martini,Signature,"Aged rum, filter kaapi (coffee), Coffee liqueur","Shake aged rum, filter kaapi, and coffee liqueur with ice. Strain into a chilled martini glass.",Coffee beans,Martini Glass,Monkey Bar (Multiple Cities)
Mangaa,Signature,"Vodka, Aam Panna (raw mango), cumin, salt, soda",Combine vodka and Aam Panna in a glass with ice. Add cumin and salt. Stir well and top with soda.,Raw mango slice or mint sprig,Jam Jar or Highball,Monkey Bar (Multiple Cities)
Copper Monkey,Signature,"Whisky, orange juice, passion fruit, bitters, mint","Shake whisky, orange juice, and passion fruit syrup with ice. Strain into a copper mug or rocks glass filled with crushed ice. Top with bitters.",Mint sprig and orange wedge,Copper Mug or Rocks Glass,Monkey Bar (Multiple Cities)
Maaza-Wars,Signature,"Rum, Maaza (mango drink), lime, mint, soda","Build rum, Maaza, and lime juice in a highball glass over ice. Top with soda and stir.",Mint sprig,Highball,Monkey Bar (Multiple Cities)
Aacharoska,Social Signatures,"Vodka, lime juice, fresh mint, ginger, Indian lime pickle",Muddle ginger and mint with lime pickle. Add vodka and lime juice. Shake with ice and strain into a rocks glass.,Lime wedge and a touch of pickle,Rocks Glass,Social (Multiple Cities)
Deconstructed Moscow Mule,Social Signatures,"Vodka, ginger ale, bitters, lime","Served as a DIY kit. Pour vodka over ice, add lime juice and bitters. Top with ginger ale.",Lime wheel,Copper Mug or Jam Jar,Social (Multiple Cities)
L.L.I.I.T (Longest Long Island Iced Tea),Social Signatures,"Vodka, Gin, Tequila, Rum, Triple Sec, Cranberry juice, Apple juice",Combine all spirits and juices in a tall cylinder glass. Stir gently.,Lemon slice,1-litre cylinder glass,Social (Multiple Cities)
South Pacific Rim,Social Signatures,"Rum, Pineapple juice, Orange juice, Grenadine",Shake rum and juices with ice. Strain into a tiki-style glass or highball.,Pineapple leaf,Tiki Glass,Social (Multiple Cities)
Cosmo-Explosion,Social Signatures,"Vodka, Cranberry juice, Triple Sec, Cotton Candy","Shake vodka, cranberry, and triple sec. Pour over a glass filled with cotton candy.",Cotton candy,Martini Glass,Social (Multiple Cities)
