Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Agave Love,Tequila Highball,"Tequila Reposado; Agave Syrup; Fresh Lime; Soda Water","Build in glass; combine tequila, agave and lime; stir; top with soda","Lime wedge; agave leaf sliver","Highball","Hodds Cocktail Bar – Hyatt Hyderabad Gachibowli, Hyderabad"
Negroni (Classic),Classic Cocktail,"Campari; Sweet Vermouth; Gin (equal parts)","Stir all equal parts over ice; strain into chilled glass","Orange peel twist","Old Fashioned / Rock Glass","Hodds Cocktail Bar – Hyatt Hyderabad Gachibowli, Hyderabad"
Hibiscus Lemonade,Mocktail / Zero-Proof,"Hibiscus Concentrate; Fresh Lemon Juice; Sugar Syrup; Soda Water; Dried Hibiscus Flowers","Shake hibiscus, lemon and syrup; strain over ice; top with soda","Dried hibiscus flower; lemon wheel","Highball / Collins","Babylon Kitchen & Bar – Jubilee Hills, Hyderabad"
Leather & Smoke,Malt & Cognac,"Single Malt Scotch; Aged Cognac; Oloroso Sherry; Chocolate Mole Bitters","Stir all over ice in mixing glass; strain into chilled glass over single cube","Dark chocolate sliver; cherry","Lowball / Rock","The Leather Bar – The Park Hotel, Chennai"
Sazerac (House),Classic Rye Cocktail,"Rye Whiskey; Absinthe (rinse); Peychaud's Bitters; Sugar Cube","Rinse chilled glass with absinthe; build sugar, bitters and whisky in mixing glass; stir; strain into rinsed glass","Lemon peel twist (discarded)","Old Fashioned (no ice)","Eau Bar – Oberoi Hotel, Mumbai (Marine Drive)"
Marine Drive (House Signature),Citrus Rum,"Dark Rum; Coconut Water; Fresh Lime; Cane Syrup; Soda","Build over ice; combine rum, coconut water, lime and syrup; top with soda","Shaved coconut; lime wedge","Highball","Eau Bar – Oberoi Hotel, Mumbai (Marine Drive)"
Rum Cha,Tea & Rum Highball,"Dark Rum; Darjeeling Tea Concentrate; Fresh Lemon; Cane Sugar Syrup; Soda","Shake rum, tea and lemon; fine strain into ice-filled glass; top with soda","Lemon slice; tea leaves","Highball / Collins","Dali & Gala Cocktail Bar – Museum Rd, Bengaluru"
Down & Dirty,Earthy / Mezcal,"Mezcal; Espadin Agave; Mudslide Bitters; Worm Salt Rim","Build in glass; smoky and short; serve on large cube","Worm salt rim; charred lime","Tumbler / Lowball","Dali & Gala Cocktail Bar – Museum Rd, Bengaluru"
Hellfire,Tequila & Spice,"Tequila Blanco; Ghost Chilli Tincture; Mango Puree; Fresh Lime; Agave","Shake all with ice; double strain through fine mesh","Chilli salt rim; dehydrated mango slice","Coupe","Bar Spirit Forward – Lavelle Rd, Bengaluru"
Tequila Old Fashioned Riff,Agave Stirred,"Tequila Añejo; Mezcal Float; Mole Bitters; Agave Syrup","Stir tequila, bitters and syrup over ice; strain; float mezcal on top","Charred orange peel; star anise","Old Fashioned Glass","Bombay Cocktail Bar – Andheri West, Mumbai"
Blueberry Bramble,Berry & Gin,"Gin; Fresh Lemon Juice; Sugar Syrup; Blackberry / Blueberry Liqueur (float)","Shake gin, lemon and syrup; pour over crushed ice; float berry liqueur over top","Fresh blueberries; lemon slice","Old Fashioned (crushed ice)","SIDECAR – GK2, New Delhi"
Watermelon Mule,Seasonal Fruit Highball,"Vodka; Fresh Watermelon Juice; Lime Juice; Ginger Beer; Mint","Shake vodka, watermelon and lime; pour over ice; top with ginger beer","Watermelon triangle; mint bouquet","Highball / Copper Mug","The Living Room Bar – Anna Nagar, Chennai"
MS Signature Speakeasy,Sour Spirit,"House Blended Whisky; Tamarind Cordial; Lemon; Egg White; Aromatic Bitters","Dry shake egg white and lemon; add spirits and cordial; wet shake with ice; fine strain","Tamarind candy on foam; dehydrated lemon","Coupe","MS Bar & Lounge – Esplanade, Kolkata"
Gondhoraj Collins,Bengali Citrus,"Gin; Gondhoraj Lime Juice; Simple Syrup; Soda Water","Combine gin, lime and syrup in shaker with ice; shake; strain into ice-filled glass; top with soda","Gondhoraj lime wedge; sprig of Bengali herbs","Highball / Collins","Little Bit Sober – Chowringhee, Kolkata"
Flora Spritzer,Low-ABV Floral,"Elderflower Liqueur; Prosecco or Sparkling Wine; Fresh Cucumber; Citrus Bitters","Build over ice; cucumber first; pour elderflower and sparkling wine; bitters on top","Edible flower; cucumber slice","Wine Glass / Copa","SIDECAR – GK2, New Delhi"
Caramel Brew,Low-ABV Coffee,"Coffee Liqueur; Cold Brew Concentrate; Caramel Syrup; Cream Float; Soda","Combine coffee liqueur, cold brew and caramel; top with soda; float cream","Three coffee beans","Highball","SIDECAR – GK2, New Delhi (Low ABV range)"
Woody Highball,Herbal Zero-Proof / Low-ABV,"Khas Khas (Vetiver) Syrup; Soda Water; Lime Juice; Mint","Build over ice; combine vetiver syrup and lime; top with soda; garnish","Mint sprig; vetiver straw","Highball","SIDECAR – GK2, New Delhi (Low ABV range)"
Tomato Highball,Savoury / Zero-Proof,"Cherry Tomato Shrub; Lime Juice; Black Salt; Soda Water","Build over ice; combine shrub, lime, black salt; top with soda","Cherry tomato on skewer; celery salt rim","Highball","SIDECAR – GK2, New Delhi (Low ABV range)"
Peak Hour,Herbal Gin Sour,"Gin; Fresh Coriander; Green Chilli; Lime Juice; Sugar Syrup","Muddle coriander and chilli; add gin, lime and syrup; shake; fine strain into chilled glass","Charred lime half; micro coriander","Nick & Nora","SIDECAR – GK2, New Delhi"
