Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Spicy Collins 11,South Inspired,"Vodka, Rose Syrup, Orange Juice, Lime Juice","Combine Vodka, Rose Syrup, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Bar Kin-Rü (Goa)
Silver Sling 12,Tropical,"Brandy, Cardamom, Lime Juice, Lime Juice","Combine Brandy, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Whisky Samba (Goa)
Midnight Martini 13,Twisted Classics,"Brandy, Cardamom, Soda, Lime Juice","Combine Brandy, Cardamom, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Pandan Club (Kolkata)
Jungle Martini 14,Tropical,"Gin, Masala Chai, Pineapple Juice, Lime Juice","Combine Gin, Masala Chai, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,TOIT (Hyderabad)
Golden Smash 15,Tropical,"Mezcal, Jaggery, Coconut Water, Lime Juice","Combine Mezcal, Jaggery, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Monkey Bar (Bangalore)
Rustic Tonic 16,Signature,"Rum, Tamarind, Lime Juice, Lime Juice","Combine Rum, Tamarind, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,KooX (Chennai)
Silver Mojito 17,Twisted Classics,"Rum, Ginger, Soda, Lime Juice","Combine Rum, Ginger, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,BrewDog (Gurgaon)
Golden Mule 18,Himalayan Flavors,"Whisky, Filter Kaapi, Sugar Syrup, Lime Juice","Combine Whisky, Filter Kaapi, and Sugar Syrup in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Curry Leaf.",Curry Leaf,Tiki Glass,Bira 91 Taproom (Chennai)
Royal Fizz 19,The Icons,"Rum, Himalayan Honey, Ginger Ale, Lime Juice","Combine Rum, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Dried Chilli.",Dried Chilli,Martini Glass,The Glass Onion (Delhi)
Coastal Mojito 20,Himalayan Flavors,"Tequila, Filter Kaapi, Cranberry Juice, Lime Juice","Combine Tequila, Filter Kaapi, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Olterra (Chennai)
Desi Sling 21,South Inspired,"Mezcal, Black Salt, Ginger Ale, Lime Juice","Combine Mezcal, Black Salt, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Indian Accent (Gurgaon)
Urban Tonic 22,Savory & Bold,"Whisky, Rose Syrup, Soda, Lime Juice","Combine Whisky, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Lair (Hyderabad)
Monsoon Sling 23,The Icons,"Mezcal, Curry Leaves, Coconut Water, Lime Juice","Combine Mezcal, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,Avartana (Noida)
Sunset Punch 24,Tropical,"Mezcal, Indian Lime Pickle, Coconut Water, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Little Bit Sober (Mumbai)
Monsoon Fizz 25,Tropical,"Gin, Betel Leaf, Soda, Lime Juice","Combine Gin, Betel Leaf, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,PCO (Pune)
Sunset Punch 26,South Inspired,"Tequila, Cardamom, Soda, Lime Juice","Combine Tequila, Cardamom, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Windmills (Chennai)
Ruby Sour 27,Himalayan Flavors,"Gin, Betel Leaf, Orange Juice, Lime Juice","Combine Gin, Betel Leaf, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Conversation Room (Mumbai)
Monsoon Mojito 28,The Icons,"Rum, Filter Kaapi, Coconut Water, Lime Juice","Combine Rum, Filter Kaapi, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Bar Tesouro (Hyderabad)
Temple Sling 29,Tropical,"Brandy, Curry Leaves, Coconut Water, Lime Juice","Combine Brandy, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Cobbler & Crew (Kolkata)
Royal Smash 30,Tropical,"Brandy, Kokum, Tonic Water, Lime Juice","Combine Brandy, Kokum, and Tonic Water in a shaker with ice. Shake well and strain into a Coupe. Top with Cinnamon Stick.",Cinnamon Stick,Coupe,AM PM (Gurgaon)
Midnight Sour 31,Savory & Bold,"Brandy, Cumin, Soda, Lime Juice","Combine Brandy, Cumin, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,The Glass Onion (Kolkata)
Cool Collins 32,Tropical,"Vodka, Cumin, Orange Juice, Lime Juice","Combine Vodka, Cumin, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Lair (Chennai)
Rustic Sling 33,Twisted Classics,"Tequila, Jaggery, Sugar Syrup, Lime Juice","Combine Tequila, Jaggery, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Bar Tesouro (Chennai)
Ruby Sour 34,Signature,"Brandy, Cumin, Cranberry Juice, Lime Juice","Combine Brandy, Cumin, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Cinnamon Stick.",Cinnamon Stick,Copper Mug,BrewDog (Gurgaon)
Silver Sour 35,Tropical,"Vodka, Kokum, Soda, Lime Juice","Combine Vodka, Kokum, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Joseph Bar (Mumbai)
Ruby Collins 36,Himalayan Flavors,"Brandy, Indian Lime Pickle, Lime Juice, Lime Juice","Combine Brandy, Indian Lime Pickle, and Lime Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Little Bit Sober (Mumbai)
Desi Mojito 37,The Icons,"Rum, Betel Leaf, Coconut Water, Lime Juice","Combine Rum, Betel Leaf, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Whisky Samba (Noida)
Golden Mule 38,The Icons,"Whisky, Rose Syrup, Cranberry Juice, Lime Juice","Combine Whisky, Rose Syrup, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Olterra (Kolkata)
Spicy Punch 39,Tropical,"Brandy, Black Salt, Orange Juice, Lime Juice","Combine Brandy, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Monkey Bar (Delhi)
Jungle Sling 40,Himalayan Flavors,"Whisky, Jaljeera, Lime Juice, Lime Juice","Combine Whisky, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,Bar Kin-Rü (Gurgaon)
Urban Mojito 41,Himalayan Flavors,"Gin, Tamarind, Tonic Water, Lime Juice","Combine Gin, Tamarind, and Tonic Water in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Lair (Hyderabad)
Desi Sling 42,Himalayan Flavors,"Whisky, Indian Lime Pickle, Cranberry Juice, Lime Juice","Combine Whisky, Indian Lime Pickle, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Hoots (Delhi)
Desi Punch 43,Signature,"Brandy, Jaggery, Agave Nectar, Lime Juice","Combine Brandy, Jaggery, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Cobbler & Crew (Chennai)
Masala Punch 44,Tropical,"Brandy, Ginger, Sugar Syrup, Lime Juice","Combine Brandy, Ginger, and Sugar Syrup in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Sorano (Hyderabad)
Coastal Martini 45,South Inspired,"Vodka, Cumin, Orange Juice, Lime Juice","Combine Vodka, Cumin, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Sidecar (Hyderabad)
Midnight Martini 46,Signature,"Rum, Indian Lime Pickle, Pineapple Juice, Lime Juice","Combine Rum, Indian Lime Pickle, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Sidecar (Chennai)
Jungle Martini 47,Savory & Bold,"Rum, Curry Leaves, Coconut Water, Lime Juice","Combine Rum, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Ping’s (Mumbai)
Sunset Martini 48,Himalayan Flavors,"Rum, Jaggery, Coconut Water, Lime Juice","Combine Rum, Jaggery, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Sorano (Kolkata)
Cool Smash 49,Himalayan Flavors,"Whisky, Cumin, Coconut Water, Lime Juice","Combine Whisky, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Pandan Club (Hyderabad)
Urban Martini 50,Tropical,"Brandy, Kokum, Lime Juice, Lime Juice","Combine Brandy, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Dali & Gala (Bangalore)
Silver Collins 51,Tropical,"Gin, Black Salt, Coconut Water, Lime Juice","Combine Gin, Black Salt, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Room One (Pune)
Sunrise Sling 52,South Inspired,"Gin, Aam Panna, Tonic Water, Lime Juice","Combine Gin, Aam Panna, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,RÜ (Hyderabad)
Desi Tonic 53,Savory & Bold,"Whisky, Indian Lime Pickle, Soda, Lime Juice","Combine Whisky, Indian Lime Pickle, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Cinnamon Stick.",Cinnamon Stick,Martini Glass,TOIT (Hyderabad)
Emerald Punch 54,Himalayan Flavors,"Tequila, Cardamom, Soda, Lime Juice","Combine Tequila, Cardamom, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Native (Pune)
Urban Punch 55,Tropical,"Brandy, Black Salt, Agave Nectar, Lime Juice","Combine Brandy, Black Salt, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Cock & Bull (Goa)
Silver Punch 56,Tropical,"Whisky, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Whisky, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Room One (Hyderabad)
Silver Punch 57,Signature,"Vodka, Cumin, Soda, Lime Juice","Combine Vodka, Cumin, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Joseph Bar (Noida)
Jungle Mojito 58,Savory & Bold,"Mezcal, Aam Panna, Pineapple Juice, Lime Juice","Combine Mezcal, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Whisky Samba (Pune)
Rustic Tonic 59,Savory & Bold,"Gin, Filter Kaapi, Orange Juice, Lime Juice","Combine Gin, Filter Kaapi, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Windmills (Bangalore)
Spicy Martini 60,The Icons,"Brandy, Black Salt, Pineapple Juice, Lime Juice","Combine Brandy, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Conversation Room (Pune)
Jungle Martini 61,South Inspired,"Gin, Cumin, Coconut Water, Lime Juice","Combine Gin, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Whisky Samba (Mumbai)
Royal Sour 62,Himalayan Flavors,"Brandy, Saffron, Coconut Water, Lime Juice","Combine Brandy, Saffron, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Olterra (Chennai)
Midnight Sling 63,The Icons,"Brandy, Tamarind, Tonic Water, Lime Juice","Combine Brandy, Tamarind, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Ping’s (Mumbai)
Emerald Martini 64,The Icons,"Gin, Himalayan Honey, Ginger Ale, Lime Juice","Combine Gin, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Izumi (Hyderabad)
Royal Sling 65,Signature,"Brandy, Jaljeera, Pineapple Juice, Lime Juice","Combine Brandy, Jaljeera, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,Cock & Bull (Mumbai)
Spicy Sour 66,Twisted Classics,"Mezcal, Kokum, Pineapple Juice, Lime Juice","Combine Mezcal, Kokum, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Grumps (Bangalore)
Coastal Sling 67,Savory & Bold,"Rum, Betel Leaf, Lime Juice, Lime Juice","Combine Rum, Betel Leaf, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lemon Peel.",Lemon Peel,Jam Jar,Grumps (Bangalore)
Spicy Mojito 68,South Inspired,"Rum, Aam Panna, Coconut Water, Lime Juice","Combine Rum, Aam Panna, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,RÜ (Bangalore)
Silver Sling 69,The Icons,"Tequila, Ginger, Agave Nectar, Lime Juice","Combine Tequila, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Sorano (Chennai)
Emerald Mojito 70,Signature,"Vodka, Cardamom, Tonic Water, Lime Juice","Combine Vodka, Cardamom, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,ZLB 23 (Kolkata)
Spicy Sour 71,Signature,"Whisky, Rose Syrup, Soda, Lime Juice","Combine Whisky, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,The Glass Onion (Noida)
Rustic Mojito 72,The Icons,"Brandy, Curry Leaves, Lime Juice, Lime Juice","Combine Brandy, Curry Leaves, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Slow Tide (Noida)
Jungle Mojito 73,South Inspired,"Brandy, Rose Syrup, Pineapple Juice, Lime Juice","Combine Brandy, Rose Syrup, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Izumi (Gurgaon)
Urban Sour 74,Signature,"Whisky, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Whisky, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Room Two (Hyderabad)
Spicy Collins 75,Himalayan Flavors,"Tequila, Rose Syrup, Soda, Lime Juice","Combine Tequila, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,Bar Kin-Rü (Pune)
Midnight Punch 76,Tropical,"Whisky, Jaljeera, Agave Nectar, Lime Juice","Combine Whisky, Jaljeera, and Agave Nectar in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Cinnamon Stick.",Cinnamon Stick,Rocks Glass,Soy Como Soy (Goa)
Ruby Mojito 77,Savory & Bold,"Mezcal, Filter Kaapi, Cranberry Juice, Lime Juice","Combine Mezcal, Filter Kaapi, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Masque (Delhi)
Spicy Mule 78,Signature,"Brandy, Indian Lime Pickle, Sugar Syrup, Lime Juice","Combine Brandy, Indian Lime Pickle, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,Cal-On (Delhi)
Desi Collins 79,Savory & Bold,"Mezcal, Black Salt, Lime Juice, Lime Juice","Combine Mezcal, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Monkey Bar (Delhi)
Temple Tonic 80,Savory & Bold,"Tequila, Black Salt, Coconut Water, Lime Juice","Combine Tequila, Black Salt, and Coconut Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Conversation Room (Kolkata)
Emerald Smash 81,Twisted Classics,"Rum, Indian Lime Pickle, Ginger Ale, Lime Juice","Combine Rum, Indian Lime Pickle, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Malaka Spice (Noida)
Rustic Mojito 82,The Icons,"Whisky, Jaggery, Soda, Lime Juice","Combine Whisky, Jaggery, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,BrewDog (Pune)
Spicy Punch 83,Himalayan Flavors,"Rum, Ginger, Agave Nectar, Lime Juice","Combine Rum, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Soy Como Soy (Noida)
Midnight Martini 84,South Inspired,"Rum, Jaljeera, Soda, Lime Juice","Combine Rum, Jaljeera, and Soda in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,BrewDog (Gurgaon)
Urban Tonic 85,The Icons,"Brandy, Cardamom, Ginger Ale, Lime Juice","Combine Brandy, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,BrewDog (Gurgaon)
Temple Mule 86,The Icons,"Brandy, Curry Leaves, Sugar Syrup, Lime Juice","Combine Brandy, Curry Leaves, and Sugar Syrup in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Native (Hyderabad)
Royal Punch 87,Signature,"Vodka, Betel Leaf, Coconut Water, Lime Juice","Combine Vodka, Betel Leaf, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Conversation Room (Goa)
Golden Fizz 88,Savory & Bold,"Vodka, Curry Leaves, Tonic Water, Lime Juice","Combine Vodka, Curry Leaves, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Slow Tide (Hyderabad)
Coastal Smash 89,Twisted Classics,"Mezcal, Aam Panna, Coconut Water, Lime Juice","Combine Mezcal, Aam Panna, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Dali & Gala (Delhi)
Sunrise Smash 90,Tropical,"Gin, Curry Leaves, Lime Juice, Lime Juice","Combine Gin, Curry Leaves, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,Nutcase Etc (Pune)
Rustic Sour 91,The Icons,"Gin, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Gin, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,Malaka Spice (Bangalore)
Emerald Punch 92,Tropical,"Brandy, Betel Leaf, Cranberry Juice, Lime Juice","Combine Brandy, Betel Leaf, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Sidecar (Kolkata)
Jungle Tonic 93,South Inspired,"Mezcal, Jaljeera, Sugar Syrup, Lime Juice","Combine Mezcal, Jaljeera, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,PCO (Bangalore)
Masala Smash 94,Savory & Bold,"Mezcal, Kokum, Sugar Syrup, Lime Juice","Combine Mezcal, Kokum, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,Windmills (Mumbai)
Monsoon Smash 95,South Inspired,"Vodka, Himalayan Honey, Ginger Ale, Lime Juice","Combine Vodka, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Highball. Top with Orange Twist.",Orange Twist,Highball,KooX (Goa)
Jungle Punch 96,Himalayan Flavors,"Whisky, Cumin, Tonic Water, Lime Juice","Combine Whisky, Cumin, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Petisco (Chennai)
Rustic Smash 97,South Inspired,"Vodka, Saffron, Pineapple Juice, Lime Juice","Combine Vodka, Saffron, and Pineapple Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Bira 91 Taproom (Noida)
Jungle Sour 98,Himalayan Flavors,"Gin, Jaggery, Lime Juice, Lime Juice","Combine Gin, Jaggery, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Dried Chilli.",Dried Chilli,Copper Mug,The Library Bar (Pune)
Rustic Sling 99,Tropical,"Whisky, Tamarind, Sugar Syrup, Lime Juice","Combine Whisky, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Roxie (Hyderabad)
Cool Mule 100,The Icons,"Rum, Jaljeera, Sugar Syrup, Lime Juice","Combine Rum, Jaljeera, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Ping’s (Goa)
Sunrise Smash 101,South Inspired,"Vodka, Himalayan Honey, Tonic Water, Lime Juice","Combine Vodka, Himalayan Honey, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Cinnamon Stick.",Cinnamon Stick,Rocks Glass,Windmills (Pune)
Silver Mule 102,South Inspired,"Gin, Indian Lime Pickle, Ginger Ale, Lime Juice","Combine Gin, Indian Lime Pickle, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Room Two (Gurgaon)
Jungle Fizz 103,Himalayan Flavors,"Brandy, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Brandy, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Windmills (Gurgaon)
Monsoon Fizz 104,The Icons,"Brandy, Aam Panna, Lime Juice, Lime Juice","Combine Brandy, Aam Panna, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,The Library Bar (Chennai)
Coastal Sling 105,Signature,"Mezcal, Kokum, Orange Juice, Lime Juice","Combine Mezcal, Kokum, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Dried Chilli.",Dried Chilli,Martini Glass,Hoots (Bangalore)
Coastal Smash 106,Himalayan Flavors,"Brandy, Rose Syrup, Soda, Lime Juice","Combine Brandy, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,PCO (Delhi)
